medicare_id|first_name|last_name|email|gender|drug_name|phone|address|city|state|zip|ssn|other_info
3NM2QJ3WK10|Osgood|Devon|odevon0@google.com|Male|Care One Calcium Antacid|718-287-6429|43 Marquette Parkway|Jamaica|New York|11447|760-15-5087|Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor.
8PX3TP1KF20|Stanfield|Ivakhnov|sivakhnov1@hexun.com|Male|Myochrysine|785-973-8302|9 New Castle Alley|Topeka|Kansas|66699|193-09-7924|Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.
4NX1HA7JN62|Roth|Daingerfield|rdaingerfield2@discovery.com|Non-binary|Ibuprofen|317-979-5979|849 David Avenue|Indianapolis|Indiana|46221|608-56-5322|Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim.
6R92DN3EW58|Vin|Shemilt|vshemilt3@php.net|Male|VYTORIN|914-246-6714|1 Pond Crossing|Staten Island|New York|10310|823-02-1159|Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.
7X54XH3QV88|Birgitta|Guillet|bguillet4@eepurl.com|Female|Alcohol-Free Anticavity|626-638-3089|6918 Bonner Place|Pasadena|California|91186|133-85-3187|Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl.
6TP4KE4DT18|Gunther|Giacobini|ggiacobini5@squarespace.com|Male|DiaBeta|214-173-8247|527 Carey Park|Dallas|Texas|75353|778-63-3114|Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis.
8FT6H54UR47|Cindie|Nobles|cnobles6@webs.com|Female|OLUX|941-634-3002|016 East Way|Port Charlotte|Florida|33954|208-28-8289|Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.
5DH9Q05NC25|Lani|Rizzini|lrizzini7@seattletimes.com|Genderfluid|IMAGE ESSENTIALS|682-789-8262|76755 Waxwing Road|Fort Worth|Texas|76198|607-58-1681|Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.
8VV4HV2QM36|Tim|Woodthorpe|twoodthorpe8@bluehost.com|Male|Onfi|719-966-0937|3 Onsgard Park|Pueblo|Colorado|81015|119-81-6302|Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim.
5YG3FJ2NM36|Olag|Delieu|odelieu9@newyorker.com|Male|Oxy Maximum Action Face Wash|413-719-4249|4340 Grim Lane|Springfield|Massachusetts|01129|141-68-3759|Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit.
